TIME            CPU     %user     %nice   %system   %iowait    %steal     %idle
10:30:01 PM     all     15.29      0.00      7.51      0.80      2.50     73.90
10:40:02 PM     all     78.24      0.00     21.26      0.00      0.50      0.00
10:50:01 PM     all     78.04      0.00     21.43      0.00      0.53      0.00
11:00:01 PM     all     77.81      0.00     21.67      0.00      0.51      0.00
11:10:01 PM     all     77.83      0.00     21.57      0.00      0.59      0.00
11:20:01 PM     all     78.22      0.06     21.22      0.00      0.51      0.00
11:30:01 PM     all     76.41      0.00     23.05      0.00      0.55      0.00
11:40:01 PM     all     78.03      0.00     21.48      0.00      0.49      0.00
11:50:01 PM     all     77.73      0.00     21.72      0.00      0.55      0.00
